name,amenity,shop,leisure,lon,lat,walking_time_min,distance_m,yandex_url,url_status,jsonfile
,,,playground,37.7146764,55.8024516,1.0,86.1,,skipped_unnamed,
Просторная улица,,,,37.7147767,55.8040367,1.9,162.1,,skipped_street,
,,,playground,37.71193149335756,55.80276888968178,2.0,167.1,,skipped_unnamed,
Просторная улица,,,,37.7148843,55.8040548,2.0,168.5,,skipped_street,
,,,playground,37.71628887957952,55.802955183735385,2.0,169.1,,skipped_unnamed,
,,,pitch,37.712568598787016,55.80232758130763,2.0,170.1,,skipped_unnamed,
,,,playground,37.716901913122406,55.803078642299056,2.1,174.4,,skipped_unnamed,
Просторная улица,,,,37.7145505,55.8042288,2.2,185.8,,skipped_street,
Просторная улица,,,,37.7146608,55.804254,2.2,187.3,,skipped_street,
Знаменская улица,,,,37.7159374,55.8018609,2.4,201.5,,skipped_street,
Знаменская улица,,,,37.7160805,55.8018825,2.5,209.0,,skipped_street,
Будь здоров,pharmacy,,,37.7143264,55.8044581,2.5,210.5,https://yandex.com/maps/org/bud_zdorov/90898597242/,found,Будь_Здоров__20260311_075713.json
Гриль 24/7,fast_food,,,37.7143211,55.8045049,2.6,215.5,,not_found,
,,,playground,37.7138977810868,55.80401579880038,2.8,231.8,,skipped_unnamed,
,,,sports_centre,37.7179037,55.8037963,2.8,235.4,https://yandex.com/maps/org/academy_spartak/1017626742/,found,Хоккейный_комплекс_академия_Спартак_20260311_075842.json
Гимназия №1799 Школьное отделение 3,school,,,37.71681779303034,55.80182304150488,2.9,242.6,https://yandex.com/maps/org/shkola_1080_shkolnoye_otdeleniye_3/176303019430/,found,Школа___1080__школьное_отделение___3_20260305_144200.json
,,,pitch,37.71658551927921,55.801612359135184,3.0,246.7,,skipped_unnamed,
,,,pitch,37.71683670000001,55.80164775000002,3.0,247.1,,skipped_unnamed,
МясновЪ,,convenience,,37.7147582,55.8046555,3.0,250.2,https://yandex.com/maps/org/kuulklever_myasnov_otdokhni/183676220593/,found,КуулКлевер_МясновЪ_Отдохни_20260305_142621.json
Куулклевер,,convenience,,37.7148427,55.8046661,3.1,255.6,https://yandex.com/maps/org/kuulklever_myasnov_otdokhni/183676220593/,found,КуулКлевер_МясновЪ_Отдохни_20260305_143510.json
Знаменская улица,,,,37.7161414,55.8012714,3.1,261.8,,skipped_street,
Центр московского долголетия,community_centre,,,37.711725,55.8021165,3.2,268.2,https://yandex.com/maps/org/tsentr_moskovskogo_dolgoletiya/118261465121/,found,Центр_московского_долголетия_20260311_075905.json
Знаменская улица,,,,37.7162469,55.8012806,3.2,268.6,,skipped_street,
,,,pitch,37.713199450000005,55.8038983,3.3,277.4,,skipped_unnamed,
Магнит,,supermarket,,37.7151844,55.8047166,3.3,277.7,https://yandex.com/maps/org/magnit/167477791593/,found,Магнит_20260305_144056.json
Алымовский сквер,,,park,37.71116262243372,55.80279821645345,3.4,283.3,https://yandex.com/maps/org/public_garden_at_krasnobogatyrskaya_street/43251352211/,found,Сквер_20260305_144336.json
ВкусВилл,,convenience,,37.7157997,55.8048095,3.8,313.2,https://yandex.com/maps/org/vkusvill/1191465422/,found,ВкусВилл_20260305_144135.json
Улица Алымова,,,,37.711934,55.8044067,4.0,334.0,,skipped_street,
Хлебшоп,,bakery,,37.7161585,55.8048775,4.0,336.9,https://yandex.com/maps/org/khlebshop/193721364628/,found,ХлебШоп_20260311_075935.json
Улица Алымова,,,,37.7123486,55.8044004,4.2,349.3,,skipped_street,
Улица Алымова,,,,37.7119111,55.8044844,4.2,352.5,,skipped_street,
Улица Алымова,,,,37.7122997,55.8044697,4.3,355.8,,skipped_street,
,,,playground,37.717929906665326,55.80194337698666,4.3,359.7,,skipped_unnamed,
Краснобогатырская улица,,,,37.7104333,55.8020158,4.4,368.6,,skipped_street,
Столички,pharmacy,,,37.7151176,55.8056391,4.4,370.5,https://yandex.com/maps/org/stolichki/121887326020/,found,Столички_20260311_075953.json
,,,playground,37.7181265,55.804515300000006,4.5,376.5,,skipped_unnamed,
Френдс,cafe,,,37.710341,55.8012446,4.6,379.1,https://yandex.com/maps/org/friends/174300601521/,found,Френдс_20260311_080300.json
Диализный центр НИИ Клинической медицины,clinic,,,37.71177779401394,55.80475001151804,4.6,383.1,https://yandex.com/maps/org/institute_clinical_medicine/143567389638/,found,НИИ_клинической_медицины_20260305_144225.json
Краснобогатырская улица,,,,37.7103189,55.801931,4.7,386.9,,skipped_street,
Додо Пицца,fast_food,,,37.7105699,55.8010714,4.7,388.0,https://yandex.com/maps/org/dodo_pizza/182854425695/,found,Додо_Пицца_20260311_080350.json
Иван раковар,restaurant,,,37.7101771,55.8012586,4.7,388.6,https://yandex.com/maps/org/moia_rakovarnya/9481087810/,found,Моя_Раковарня_20260311_080504.json
,,,playground,37.71929784122448,55.803490217378254,4.7,390.2,,skipped_unnamed,
Оазис,cafe,,,37.7165526,55.800096,4.7,394.4,,not_found,
Хороший доктор,doctors,,,37.7100745,55.8012309,4.7,395.6,https://yandex.com/maps/org/good_doctor/40267397512/,found,Хороший_Доктор_20260311_080546.json
MyFitlab Преображенская,,,fitness_centre,37.7165728,55.8000666,4.8,397.9,https://yandex.com/maps/org/myfitlab/209083406668/,found,MyFitlab_20260311_080654.json
Izıplay Кибер Арена,community_centre,,,37.7106246,55.8009682,4.8,399.9,https://yandex.com/maps/org/colizeum/189252168187/,found,Colizeum_20260311_080720.json
Авоська,,supermarket,,37.7172255,55.8049434,4.9,409.2,https://yandex.com/maps/org/avos_ka/1015734229/,found,Авоська_20260305_144312.json
More poke,cafe,,,37.7106777,55.8008618,4.9,412.2,https://yandex.com/maps/org/poke_more/155360543869/,found,Poke___More_20260311_080747.json
Горздрав,pharmacy,,,37.7172875,55.805003,5.0,414.9,https://yandex.com/maps/org/gorzdrav/3834515160/,found,Горздрав_20260311_080805.json
Mitsar,pharmacy,,,37.7174048,55.8050122,5.1,422.2,https://yandex.com/maps/org/mitsar/1029974793/,found,Мицар_20260311_080830.json
Мама я плыву,,,sports_centre,37.7096017,55.8011302,5.1,427.1,https://yandex.com/maps/org/mama_ya_plyvu/84341101555/,found,Мама__я_плыву__20260311_080929.json
Сбербанк,bank,,,37.7175624,55.8050678,5.2,433.4,https://yandex.com/maps/org/sberbank/87918851510/,found,СберБанк_20260311_081011.json
,,,playground,37.714014892446,55.80617103370769,5.2,435.6,,skipped_unnamed,
Перекрёсток,,supermarket,,37.7113539,55.800633,5.2,437.0,https://yandex.com/maps/org/perekrestok/54052554701/,found,Перекрёсток_20260305_145538.json
,,,pitch,37.7100183704269,55.80083745490052,5.3,440.4,,skipped_unnamed,
Медси,doctors,,,37.7112545,55.8005801,5.3,444.6,https://yandex.com/maps/org/medsi/237716612187/,found,Медси_20260311_081151.json
Улица Хромова,,,,37.7128505,55.8002005,5.4,450.2,,skipped_street,
Доктор Столетов,pharmacy,,,37.7111356,55.8005601,5.4,452.5,https://yandex.com/maps/org/doktor_stoletov/71841443179/,found,Доктор_Столетов_20260311_081210.json
Зельев переулок,,,,37.7175178,55.8053753,5.5,454.4,,skipped_street,
Краснобогатырская улица,,,,37.7092242,55.8026006,5.5,455.5,,skipped_street,
Чайхана Халяль,cafe,,,37.7096554,55.805373,5.5,457.3,https://yandex.com/maps/org/chaykhana_khalyal/215549618494/,found,Чайхана_халяль_20260311_081229.json
Улица Хромова,,,,37.7126671,55.8001835,5.5,459.9,,skipped_street,
Улица Хромова,,,,37.7126904,55.8001894,5.5,460.0,,skipped_street,
,pharmacy,,,37.7093533,55.8010917,5.6,464.1,https://yandex.com/maps/org/stolichki/121887326020/,found,Столички_20260311_081246.json
,,,playground,37.709590858357785,55.80077751143904,5.6,464.6,,skipped_unnamed,
,,,playground,37.7092997081142,55.80072949610069,5.6,464.6,,skipped_unnamed,
Обнимая солнце,kindergarten,,,37.7089167,55.8009863,5.6,464.6,https://yandex.com/maps/org/hug_the_sun/66147649481/,found,Обнимая_Солнце_20260305_150104.json
Лента,,supermarket,,37.7162903,55.7998718,5.6,465.0,https://yandex.com/maps/org/super_lenta/159289841467/,found,Супер_Лента_20260305_144835.json
,,,playground,37.720975012381885,55.80442974976673,5.6,465.6,,skipped_unnamed,
Краснобогатырская улица,,,,37.7090985,55.8025356,5.6,467.0,,skipped_street,
Зельев переулок,,,,37.7174951,55.8054521,5.7,472.1,,skipped_street,
Бойцовая улица,,,,37.7133493,55.8067194,5.7,473.5,,skipped_street,
Бойцовая улица,,,,37.7134834,55.8067347,5.8,479.7,,skipped_street,
Pro Coffee,cafe,,,37.7107054,55.800491,5.8,480.2,https://yandex.com/maps/org/procoffee/40375359264/,found,ProCoffee_20260311_081326.json
,,,pitch,37.72032705,55.802258650000006,5.8,481.0,,skipped_unnamed,
,,,playground,37.72038889570919,55.8033977193604,5.8,482.1,,skipped_unnamed,
,,,playground,37.71131400047543,55.80005599972778,5.8,483.6,,skipped_unnamed,
Zemsclinic,dentist,,,37.7120802,55.7999315,5.8,486.5,https://yandex.com/maps/org/zemsclinic/124808086639/,found,Земсклиника_20260311_081419.json
Улица Хромова,,,,37.7128303,55.799953,5.8,487.5,,skipped_street,
Улица Хромова,,,,37.7128534,55.7999592,5.8,487.5,,skipped_street,
Футбольный клуб Преображенка,,,sports_centre,37.720700999999984,55.8025422,5.9,488.0,https://yandex.com/maps/org/prayd_futbolnaya_shkola/122033319367/,found,Прайд__Футбольная_школа_20260311_082024.json
Улица Хромова,,,,37.7126514,55.7999608,5.9,488.6,,skipped_street,
,,,playground,37.71146195000001,55.79978495,5.9,491.4,,skipped_unnamed,
,,,pitch,37.72086086977514,55.80238535183867,5.9,492.3,,skipped_unnamed,
Пятёрочка,,supermarket,,37.7137188,55.8069715,6.0,500.9,https://yandex.com/maps/org/pyatyorochka/148224309269/,found,Пятёрочка_20260305_144423.json
Вита Экспресс,pharmacy,,,37.7135378,55.8069613,6.0,502.9,https://yandex.com/maps/org/vita_express/52613375086/,found,Вита_Экспресс_20260311_082050.json
Пятёрочка,,supermarket,,37.7159936,55.8062319,6.0,502.9,https://yandex.com/maps/org/pyatyorochka/148752244403/,found,Пятёрочка_20260305_144739.json
Nero,fast_food,,,37.7121392,55.7997748,6.0,504.4,https://yandex.com/maps/org/sushi_nero_wok/9407402778/,found,Суши_Неро_Вок_20260311_082157.json
,,,playground,37.71804473206839,55.7996285509932,6.1,505.4,,skipped_unnamed,
"Гимназия №1799, дошкольное отделение 4",kindergarten,,,37.71837240937348,55.80134740415583,6.1,505.5,https://yandex.com/maps/org/shkola_1080_doshkolnoye_otdeleniye_4/1088209648/,found,Школа___1080__дошкольное_отделение___4_20260305_145010.json
Adria Mare,restaurant,,,37.7124853,55.7997924,6.1,508.7,https://yandex.com/maps/org/adria_mare/140739352225/,found,Adria_Mare_20260311_082347.json
Будь здоров!,pharmacy,,,37.7102555,55.8004044,6.1,510.0,https://yandex.com/maps/org/bud_zdorov/104199994745/,found,Будь_Здоров__20260311_082406.json
Зельев переулок,,,,37.7185162,55.805466,6.1,512.1,,skipped_street,
Грузинская кухня,cafe,,,37.7183273,55.7998506,6.2,515.0,https://yandex.com/maps/org/georgian_food/148820131484/,found,Грузинская_кухня_20260311_082433.json
Зельев переулок,,,,37.7184814,55.8055353,6.2,517.9,,skipped_street,
Магнит,,convenience,,37.7183845,55.7998601,6.2,518.7,https://yandex.com/maps/org/magnit/167477791593/,found,Магнит_20260305_145051.json
Буханка,,bakery,,37.7163696,55.8059925,6.3,521.7,https://yandex.com/maps/org/buhanka/223960900654/,found,Буханка_20260311_082531.json
,,,playground,37.7124569074239,55.80581590816442,6.3,524.1,,skipped_unnamed,
Еаптека,pharmacy,,,37.7124862,55.7996554,6.4,529.7,https://yandex.com/maps/org/eapteka/29197460466/,found,ЕАПТЕКА_20260311_082556.json
Гемотест,,,,37.70882,55.8009636,6.4,536.4,https://yandex.com/maps/org/laboratoria_gemotest/199278147227/,found,Лаборатория_Гемотест_20260311_082626.json
,,,pitch,37.72143363032385,55.80246849248322,6.4,537.1,,skipped_unnamed,
ВкусВилл,,convenience,,37.7086497,55.8009288,6.5,537.4,https://yandex.com/maps/org/vkusvill/28234578703/,found,ВкусВилл_20260305_150735.json
Школа №1080 (школьное отделение №3),school,,,37.721130480356805,55.80160517962691,6.5,537.6,https://yandex.com/maps/org/shkola_1080_shkolnoye_otdeleniye_3/176303019430/,found,Школа___1080__школьное_отделение___3_20260305_145650.json
Ozzy coffee,cafe,,,37.7097309,55.8003251,6.5,544.0,https://yandex.com/maps/org/ozzy/81474077044/,found,Ozzy_20260311_082654.json
МФЦ Преображенское,,,,37.7174713,55.7988153,6.6,547.4,https://yandex.com/maps/org/tsentr_gosuslug_rayona_preobrazhenskoye/1582177141/,found,Центр_госуслуг_района_Преображенское_20260311_082818.json
МФЦ Преображенское,,,,37.7175467,55.7988278,6.6,553.2,https://yandex.com/maps/org/tsentr_gosuslug_rayona_preobrazhenskoye/1582177141/,found,Центр_госуслуг_района_Преображенское_20260305_150015.json
Shawarma cafe,fast_food,,,37.7184637,55.8060793,6.8,563.2,https://yandex.com/maps/org/shaurma_pekarnya/86242734974/,found,Шаурма_Пекарня_20260311_082849.json
,,,playground,37.70965269319314,55.806256420797055,6.8,564.2,,skipped_unnamed,
Дикси,,supermarket,,37.7080245,55.8051858,6.9,572.1,https://yandex.com/maps/org/dixi/87836330334/,found,Дикси_20260305_150351.json
,,,playground,37.721653471616456,55.80518353193543,6.9,572.2,,skipped_unnamed,
Heritage,childcare,,,37.710003,55.799803,6.9,573.3,https://yandex.com/maps/org/heritage_international_school/238185762316/,found,Heritage_International_School_20260311_082919.json
,,,playground,37.70941928302613,55.80005809988652,6.9,576.8,,skipped_unnamed,
Resentin,restaurant,,,37.7092077,55.8002268,6.9,578.4,https://yandex.com/maps/org/resentin/203835448532/,found,Resentin_20260311_083008.json
Школа №1797,school,,,37.71227849874701,55.80736827771557,7.0,583.7,https://yandex.com/maps/org/gbou_school_1797_building_2/1127920038/,found,Школа___1797_Богородская__корпус___2_20260305_144906.json
Авиценна Фарма,pharmacy,,,37.7078324,55.8051547,7.0,584.6,https://yandex.com/maps/org/avilek/1230583549/,found,Авилек_20260311_083043.json
,,greengrocer,,37.7179417,55.8060968,7.0,585.8,,skipped_unnamed,
ProfiTrolly,cafe,,,37.7090313,55.8002077,7.1,589.7,https://yandex.com/maps/org/profitrolly/181700290674/,found,ProfiTrolly_20260311_083304.json
,atm,,,37.7146411,55.7996342,7.2,599.9,https://yandex.com/maps/org/t_bank/39000042744/,found,Т-Банк_20260311_083330.json
Мосгорсуд,,,,37.70751,55.8045361,7.2,600.1,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260311_083502.json
,,,pitch,37.71857001929615,55.80086695162264,7.2,603.3,,skipped_unnamed,
Пятёрочка,,supermarket,,37.7190702,55.8062286,7.2,604.2,https://yandex.com/maps/org/pyatyorochka/24126370673/,found,Пятёрочка_20260305_144950.json
ST-clinics,dentist,,,37.7088416,55.8003286,7.3,604.9,https://yandex.com/maps/org/st/66636532328/,found,СТ_20260311_083525.json
"Семейный центр ""Веста""",kindergarten,,,37.7199409,55.800881,7.3,607.6,https://yandex.com/maps/org/vesta/205192364200/,found,Веста_20260305_150501.json
Бойцовая улица,,,,37.713685,55.8077803,7.3,607.8,,skipped_street,
Московский индустриальный банк,bank,,,37.7146928,55.7995481,7.3,609.0,https://yandex.com/maps/org/moscow_industrial_bank/1436132599/,found,Московский_Индустриальный_банк_20260311_083546.json
,atm,,,37.7191666,55.8062461,7.3,610.6,https://yandex.com/maps/org/t_bank/220354585027/,found,Т-Банк_20260311_083612.json
,,,park,37.71957137682027,55.80594019907044,7.3,610.7,,skipped_unnamed,
ИнтДент,dentist,,,37.7115813,55.7992817,7.3,611.9,https://yandex.com/maps/org/intdent/145780125461/,found,Интдент_20260311_083652.json
Хинкальная,fast_food,,,37.7067433,55.8039487,7.4,613.2,https://yandex.com/maps/org/khinkalnaya/1224426109/,found,Хинкальная_20260311_083839.json
Бойцовая улица,,,,37.713635,55.8078031,7.4,613.6,,skipped_street,
Часовня-усыпальница А.Т. Колычева,place_of_worship,,,37.70940729850687,55.80443118190788,7.4,614.1,https://yandex.com/maps/org/bogorodskoe_cemetery/199448982685/,found,Богородское_кладбище_20260311_083857.json
Мосгорсуд,,,,37.7072979,55.8045675,7.4,614.7,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260305_152342.json
Пятёрочка,,supermarket,,37.7199038,55.8005398,7.4,615.5,https://yandex.com/maps/org/pyatyorochka/174993126988/,found,Пятёрочка_20260305_150636.json
,,,playground,37.71468871593861,55.80728514470601,7.4,620.7,,skipped_unnamed,
J2S,,,fitness_centre,37.711414,55.7992564,7.5,622.7,https://yandex.com/maps/org/j2s/118372558911/,found,J2s_20260311_083925.json
Мосгорсуд,,,,37.7071638,55.8047883,7.5,625.0,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260305_151256.json
,,,playground,37.72159862040149,55.80194970373311,7.5,626.1,,skipped_unnamed,
,,,playground,37.72261675,55.80289350000001,7.6,630.8,,skipped_unnamed,
,,,playground,37.717499,55.8066012,7.6,632.2,,skipped_unnamed,
Дизайнерский дом Татьяны Тягиной,,clothes,,37.7112474,55.7992325,7.6,633.5,https://yandex.com/maps/org/dizaynersky_dom_tatyany_tyaginoy/215680677457/,found,Дизайнерский_дом_Татьяны_Тягиной_20260311_083956.json
Дикси,,supermarket,,37.7138095,55.8080299,7.7,640.0,https://yandex.com/maps/org/dixy/1260020173/,found,Дикси_20260305_145625.json
Храм-часовня Николая Чудотворца,place_of_worship,,,37.706501002094896,55.803052960177055,7.7,641.4,https://yandex.com/maps/org/chapel_of_saint_nicholas_the_wonderworker/1313305308/,found,Часовня_Николая_Чудотворца_20260311_084015.json
,,,playground,37.72342421815764,55.804627509596926,7.7,641.5,,skipped_unnamed,
,veterinary,,,37.7068768,55.8043965,7.7,644.0,https://yandex.com/maps/org/chetyre_lapy/107415786655/,found,Четыре_Лапы_20260311_084105.json
Мосгорсуд,,,,37.7070434,55.804779,7.8,649.8,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260311_084238.json
,,,playground,37.7230607,55.8053801,7.9,654.1,,skipped_unnamed,
,dentist,,,37.7189816,55.7986847,7.9,658.6,https://yandex.com/maps/org/dentality/7789476382/,found,Денталити_20260311_084318.json
,,,pitch,37.70943323412495,55.80696445099405,7.9,661.0,,skipped_unnamed,
,,,pitch,37.7100884,55.79922404999999,7.9,661.0,,skipped_unnamed,
Центр образования №1452 Богородский,school,,,37.70889481381086,55.80710470788066,7.9,661.0,https://yandex.com/maps/org/tsentr_obrazovaniya_bogorodskiy/1126809443/,found,Центр_образования_Богородский_20260305_152414.json
,,,park,37.71556402844008,55.8071844523264,7.9,661.1,,skipped_unnamed,
Дикси,,supermarket,,37.7222824,55.8057198,8.0,663.1,https://yandex.com/maps/org/dixy/1413271851/,found,Дикси_20260305_151806.json
"Медицинский семейный центр ""Пангея""",doctors,,,37.7189138,55.7992054,8.1,672.8,https://yandex.com/maps/org/pangeya/1062900548/,found,Пангея_20260311_084410.json
,,,pitch,37.72357461874393,55.805391808934914,8.1,675.6,,skipped_unnamed,
,,,pitch,37.71500173987442,55.807121480847,8.1,677.5,,skipped_unnamed,
,,,pitch,37.71214625,55.80756689999999,8.2,681.6,,skipped_unnamed,
Хорошая Аптека,pharmacy,,,37.7146997,55.8082173,8.3,684.9,https://yandex.com/maps/org/vita_express/52613375086/,found,Вита_Экспресс_20260311_084435.json
3-я Гражданская улица,,,,37.7140688,55.8083621,8.3,690.9,,skipped_street,
3-я Гражданская улица,,,,37.7140388,55.8083447,8.3,690.9,,skipped_street,
Детский сад №413,kindergarten,,,37.711641902520185,55.80770246823581,8.4,693.6,https://yandex.com/maps/org/detskiy_sad_413/172871960175/,found,Детский_сад___413_20260305_150328.json
Cosmodent,dentist,,,37.7178962,55.8071114,8.3,694.6,https://yandex.com/maps/org/dr_pogodin_laboratory_of_perfect_smiles/7134045488/,found,Лаборатория_совершенных_улыбок_доктора_Погодина_20260311_084458.json
,,,playground,37.716320246625216,55.80753502206893,8.3,695.5,,skipped_unnamed,
,,,playground,37.707051329589376,55.80007937992331,8.4,696.1,,skipped_unnamed,
,,,pitch,37.709650014742586,55.7992963777002,8.4,700.3,,skipped_unnamed,
3-я Гражданская улица,,,,37.7139505,55.8084265,8.4,701.3,,skipped_street,
Каждый День,,convenience,,37.714866,55.8083394,8.5,701.9,https://yandex.com/maps/org/kazhdy_den/1742861904/,found,Каждый_День_20260305_150419.json
3-я Гражданская улица,,,,37.7140016,55.8084561,8.5,707.7,,skipped_street,
Eurospar,,supermarket,,37.70605165649395,55.80193954123161,8.7,717.6,https://yandex.com/maps/org/eurospar/174888074779/,found,Eurospar_20260305_154736.json
,,,pitch,37.71169391127401,55.807312614949176,8.7,719.6,,skipped_unnamed,
,,,playground,37.7167989,55.79765860000001,8.7,723.7,,skipped_unnamed,
Стоматологическая поликлиника №56,dentist,,,37.72168130120411,55.80101267567745,8.8,730.2,https://yandex.com/maps/org/dental_clinic_56/1013953134/,found,Стоматологическая_поликлиника___56_20260311_084638.json
Магнит,,supermarket,,37.7209894,55.8065149,8.8,730.5,https://yandex.com/maps/org/magnit/237104845021/,found,Магнит_20260305_150705.json
,cafe,,,37.7181041,55.7973381,8.8,732.7,https://yandex.com/maps/org/zdraste/39895408342/,found,Здрасте_20260311_084705.json
Эверест,,supermarket,,37.7180859,55.7973105,8.8,732.7,https://yandex.com/maps/org/everest/238268748040/,found,Эверест_20260305_152458.json
,,,playground,37.71083730208543,55.80741702185479,8.9,740.2,,skipped_unnamed,
,,,pitch,37.714241,55.80895985,8.9,740.3,,skipped_unnamed,
Авоська,,supermarket,,37.7188713,55.7986354,8.9,744.8,https://yandex.com/maps/org/avos_ka/96058051755/,found,Авоська_20260305_152604.json
,,,playground,37.70803345054751,55.806520257468655,9.0,747.7,,skipped_unnamed,
,,,pitch,37.70854939007136,55.80673154474359,9.0,748.4,,skipped_unnamed,
,,,playground,37.71721776558789,55.7977267407287,9.0,748.8,,skipped_unnamed,
Мосгорсуд,,,,37.7045376,55.802812,9.1,751.4,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260305_155539.json
,,,playground,37.72306435000001,55.80188950000001,9.0,753.1,,skipped_unnamed,
,,,playground,37.71695329999999,55.79754024999999,9.0,753.6,,skipped_unnamed,
Мосгорсуд,,,,37.7046435,55.8027274,9.1,755.3,https://yandex.com/maps/org/moscow_city_court/1011300136/,found,Московский_городской_суд_20260311_084835.json
Олдент,dentist,,,37.7050067,55.8025071,9.1,756.5,https://yandex.com/maps/org/oldent/56491907564/,found,ОлДент_20260311_085021.json
"Гимназия №1080, дошкольное отделение 1",kindergarten,,,37.72065962124005,55.799211263819615,9.1,757.2,https://yandex.com/maps/org/gbou_gimnaziya_1799_ekopolis_doshkolnoye_otdeleniye_1/1046778636/,found,Школа___1080__дошкольное_отделение___1_20260305_152925.json
Метро «Преображенская площадь»,,,,37.7146709,55.7977091,9.2,760.4,,skipped_street,
,,clothes,,37.707105,55.8068168,9.1,761.6,https://yandex.com/maps/org/odezhda/200178825577/,found,Одежда_20260311_085047.json
